,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
Time for proper date,Time for proper time,Time at proper coordinates,Lines,,"$GPGSV,3,3,11,12,03,318,,02,03,055,,43,,,*75",,,,Average,40,-75.503014,39.84883647,-75.51818053,970.489032205,1683.460529900,1326.9747811,147294200.7,1,111000
0:47,1:04,9:28,in seconds,,"$GPRMC,185631.000,A,3950.9328,N,07531.0729,W,1.19,106.69,070424,,,A*73",39.848880,-75.517882,"39.84888,-75.51788167",Median,40,-75.509721,39.84883647,-75.51818053,1011.416699372,939.026382074,975.2215407,108249591,0.1,11100
,,,,,"$GPGGA,185632.000,3950.9330,N,07531.0734,W,1,07,1.36,117.5,M,-33.8,M,,*57",,,,Worst Coordinate,-39.848836,75.518181,39.84883647,-75.51818053,-4423220.848485630,8382518.038512070,1979648.5950132,,0.01,1110
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.63,1.36,0.90*05",,,,,,,,,,Num Points,540,,0.001,111
,,,,,"$GPRMC,185632.000,A,3950.9330,N,07531.0734,W,0.96,105.37,070424,,,A*7B",39.848883,-75.517890,"39.84888333,-75.51789",,,,,,,,,,0.0001,11.1
,,,,,"$GPGGA,185633.000,3950.9334,N,07531.0741,W,1,07,1.36,117.4,M,-33.8,M,,*51",,,,,,,,,,,,,0.00001,1.11
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.63,1.36,0.90*05",,,,,,,,,,,,,0.000001,0.111
,,,,,"$GPRMC,185633.000,A,3950.9334,N,07531.0741,W,0.69,100.04,070424,,,A*79",39.848890,-75.517902,"39.84889,-75.51790167",,,,,,,,,,,
,,,,,"$GPGGA,185634.000,3950.9333,N,07531.0745,W,1,07,1.36,117.3,M,-33.8,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.63,1.36,0.90*05",,,,,,,,,,,,,,
,,,,,"$GPRMC,185634.000,A,3950.9333,N,07531.0745,W,0.65,103.58,070424,,,A*7B",39.848888,-75.517908,"39.84888833,-75.51790833",,,,,,,,,,,
,,,,,"$GPGGA,185635.000,3950.9332,N,07531.0750,W,1,07,1.36,117.2,M,-33.8,M,,*57",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.63,1.36,0.90*05",,,,,,,,,,,,,,
,,,,,"$GPRMC,185635.000,A,3950.9332,N,07531.0750,W,0.43,103.58,070424,,,A*7B",39.848887,-75.517917,"39.84888667,-75.51791667",,,,,,,,,,,
,,,,,"$GPGGA,185636.000,3950.9330,N,07531.0754,W,1,07,1.36,117.2,M,-33.8,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.63,1.36,0.90*05",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,31,19,67,336,32,17,63,053,21,06,60,243,20*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,25,03,34,059,24,11,23,233,14,24,17,287,*78",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,12,03,318,,02,03,055,,45,,,*73",,,,,,,,,,,,,,
,,,,,"$GPRMC,185636.000,A,3950.9330,N,07531.0754,W,0.39,103.58,070424,,,A*73",39.848883,-75.517923,"39.84888333,-75.51792333",,,,,,,,,,,
,,,,,"$GPGGA,185637.000,3950.9327,N,07531.0761,W,1,07,1.36,117.2,M,-33.8,M,,*53",,,,,,,,,,,,,,
